No.,Player,Team,Wickets,Mat,Inns,Avg,SR,ER,5W+,3W+,Maiden,Runs,HS,100,50,4s,6s,Role
1,Jagjit Singh,CG,18,7,7,12.72,9,8.48,1,2,0,,,,,,,Batting All-Rounder
2,Kumar Kartikeya,MP,17,10,10,17.06,13.41,7.63,0,3,0,,,,,,,Bowler (Left-arm wrist spin)
3,Mukesh Choudhary,MAH,15,6,6,12.93,8.8,8.82,0,3,0,,,,,,,Bowler (Left-arm medium)
4,Shardul Thakur,MUM,15,9,9,24.53,14,10.51,0,2,0,,,,,,,All-Rounder (Right-arm medium-fast)
5,Shreyas Gopal,KAR,14,7,7,11.86,11.57,6.15,1,1,0,,,,,,,All-Rounder (Leg spin)
6,KV Sasikanth,ANDR,14,7,7,18.64,11.57,9.67,0,3,0,,,,,,,Bowler (Right-arm medium)
7,Atit Sheth,BRD,14,9,9,22,12.64,10.44,0,2,0,,,,,,,All-Rounder (Right-arm medium-fast)
8,Arzan Nagwaswalla,GUJ,13,6,6,16.31,10.54,9.28,0,2,0,,,,,,,Bowler (Left-arm fast-medium)
9,Sayan Sankar Ghosh,BEN,13,7,7,14.08,12.46,6.78,0,1,0,,,,,,,Bowler (Right-arm medium)
10,Cheepurapalli Stephen,ANDR,13,7,7,13.54,11.08,7.33,0,3,0,,,,,,,Bowler (Left-arm medium-fast)
11,Telukupalli Ravi Teja,HYD,13,7,7,16.08,11.77,8.2,0,2,0,,,,,,,All-Rounder (Right-arm medium)
12,Bishworjit Konthoujam,MNP,13,7,7,14.85,10.31,8.64,0,2,0,,,,,,,Bowler (Right-arm medium-fast)
13,Mohit Avasthi,MUM,13,8,8,23.31,14.08,9.93,0,2,0,,,,,,,Bowler (Right-arm fast-medium)
14,Darshan Nalkande,VID,12,6,6,17.42,10.92,9.57,0,3,0,,,,,,,Bowling All-Rounder (Right-arm fast-medium)
15,Bal Krishna,JHKD,12,7,7,14.75,12,7.38,0,1,0,,,,,,,All-Rounder / Bowler (Right-arm medium-fast)
16,Abid Mushtaq,J&amp;K,12,7,7,13.83,10.58,7.84,0,2,0,,,,,,,"All-Rounder (Slow left-arm, right-hand bat)"
17,Parvez Sultan,TRI,12,7,7,17.17,12.67,8.13,0,2,0,,,,,,,"All-Rounder (Emerging player, Tripura)"
18,Raj Angad Bawa,CG,12,7,7,19.33,12.58,9.22,0,2,0,,,,,,,"All-Rounder (Left-hand bat, right-arm medium-fast)"
19,Dharmendra Jadeja,SAUR,12,8,8,15.67,14,6.71,0,1,0,,,,,,,Bowler (Left-arm orthodox)
20,Lukman Meriwala,BRD,12,8,8,23.17,14.5,9.59,0,2,0,,,,,,,Bowler (Left-arm medium-fast)
21,Vineet Panwar,UP,12,9,9,23.67,18,7.89,0,2,0,,,,,,,Bowler (Right-arm medium)
22,Dipesh Parwani,VID,11,5,5,16.18,9.45,10.27,0,2,0,,,,,,,Bowler (Right-arm offbreak)
23,Rasikh Salam,J&amp;K,11,7,7,17.64,14.18,7.46,0,1,0,,,,,,,Bowler (Right-arm fast)
24,Harshal Patel,HAR,11,7,7,16.27,12.45,7.84,1,0,0,,,,,,,Bowling All-Rounder (Right-arm medium)
25,Prince Yadav,DEL,11,8,8,18.64,14.82,7.55,0,1,0,,,,,,,All-Rounder (Right-arm medium)
25,Prince Yadav,DEL,11,8,8,18.64,14.82,7.55,0,1,0,,,,,,,All-Rounder (Right-arm medium)
26,Prince Yadav,DEL,11,8,8,18.64,14.82,7.55,0,1,0,,,,,,,All-Rounder (Right-arm medium)
26,Prince Yadav,DEL,11,8,8,18.64,14.82,7.55,0,1,0,,,,,,,All-Rounder (Right-arm medium)
27,Tripuresh Singh,MP,11,8,8,18,13.55,7.97,0,1,0,,,,,,,Batsman (Right-hand bat)
28,Chirag Jani,SAUR,11,8,8,21.64,16.27,7.98,0,2,0,,,,,,,All-Rounder (Right-arm medium)
29,Bhuvneshwar Kumar,UP,11,9,9,16,15.91,6.03,0,2,0,,,,,,,Bowler (Right-arm medium-fast)
30,Mohammed Shami,BEN,11,9,9,25.36,19.36,7.86,0,2,0,,,,,,,Bowler (Right-arm fast)
31,MD Nidheesh,KER,10,6,6,15.5,12,7.75,0,1,0,,,,,,,Bowler (Right-arm medium-fast)
32,Vidyadhar Patil,KAR,10,6,6,19.4,13.8,8.43,0,1,0,,,,,,,Bowler (Right-arm fast-medium)
33,Yuzvendra Chahal,HAR,10,7,7,11.9,15,4.76,0,1,0,,,,,,,Bowler (Legbreak)
34,Kamlesh Nagarkoti,RAJ,10,7,7,18.1,16.2,6.7,0,1,0,,,,,,,Bowler (Right-arm fast)
35,Harsh Tyagi,DEL,10,7,7,13.1,11.4,6.89,0,1,0,,,,,,,Bowler (Left-arm orthodox)
36,Ishant Sharma,DEL,10,7,7,15.4,12.9,7.16,0,0,0,,,,,,,Bowler (Right-arm fast-medium)
37,Vikash Singh,JHKD,10,7,7,20.7,15,8.28,0,1,0,,,,,,,Bowler (Right-arm fast-medium)
38,Vivekanand Tiwari,JHKD,10,7,7,23.3,13.2,10.59,0,1,0,,,,,,,Bowler (Right-arm fast)
39,Avesh Khan,MP,10,9,9,27.4,19.8,8.3,0,0,0,,,,,,,Bowler (Right-arm fast-medium)
40,Felix Alemao,GOA,9,3,3,10.33,7.33,8.45,1,0,0,,,,,,,Bowler (Right-arm medium)
41,Simarjeet Singh,DEL,9,5,5,14.89,11.78,7.58,0,1,0,,,,,,,Bowler (Right-arm medium-fast)
42,Baltej Singh,PUN,9,5,5,18.11,12,9.06,0,2,0,,,,,,,Bowler (Right-arm medium-fast)
43,Gurjapneet Singh,TN,9,5,5,18.56,11.33,9.82,0,1,0,,,,,,,Bowler (Left-arm medium-fast)
44,Mukhtar Hussain,ASM,9,6,6,16.56,14,7.1,0,1,0,,,,,,,Bowler (Right-arm medium)
45,Avinov Choudhury,ASM,9,6,6,14,11.33,7.41,0,0,0,,,,,,,Bowler (Right-arm medium)
46,Aniket Choudhary,RAJ,9,6,6,19.33,13.67,8.49,0,1,0,,,,,,,Bowler (Left-arm medium-fast)
47,Ankur Panwar,SAUR,9,6,6,22.33,14,9.57,0,1,0,,,,,,,Bowler (Right-arm medium-fast)
48,Anshul Kamboj,HAR,9,7,7,16.33,14.56,6.73,0,1,0,,,,,,,Bowler (Right-arm fast-medium)
49,Mayank Dagar,HP,9,7,7,20,17.33,6.92,0,1,0,,,,,,,Bowler (Slow left-arm orthodox)
50,Sandeep Sharma,CG,9,7,7,23,18.44,7.48,0,1,0,,,,,,,Bowler (Right-arm medium-fast)
51,Ravisrinivasan Sai Kishore,TN,9,7,7,20.89,16.67,7.52,0,0,0,,,,,,,Bowler (Slow left-arm orthodox)
52,Sandeep Warrier,TN,9,7,7,19.89,15.67,7.62,0,1,0,,,,,,,Bowler (Right-arm medium-fast)
53,Varun Chakaravarthy,TN,9,7,7,21.56,16.67,7.76,0,1,0,,,,,,,Bowler (Right-arm leg spin)
54,Mohsin Khan,UP,9,7,7,21.11,16.11,7.86,0,0,0,,,,,,,Bowler (Left-arm medium-fast)
55,Kanishk Seth,BEN,9,8,8,25.89,17.78,8.74,0,0,0,,,,,,,Bowler (Left-arm medium-fast)
56,Tanush Kotian,MUM,9,9,9,20,16.11,7.45,0,1,0,,,,,,,"All-Rounder (Off-spin, right-hand bat)"
57,Ajay Dev Goud,HYD,8,4,4,11.63,10.5,6.64,0,1,0,,,,,,,"All-Rounder (Right-arm offbreak, right-hand bat)"
58,Pulkit Narang,SER,8,4,4,12.13,9.63,7.56,0,2,0,,,,,,,"All-Rounder (Right-arm offbreak, right-hand bat)"
59,Arpit Guleria,HP,8,5,5,15,12.75,7.06,1,0,0,,,,,,,Bowler (Right-arm medium-fast)
60,V Koushik,KAR,8,5,5,19.88,14.25,8.37,0,1,0,,,,,,,Bowler (Right-arm medium)
61,Akash Madhwal,UTK,8,5,5,18.38,12.63,8.73,0,2,0,,,,,,,Bowler (Right-arm fast-medium)
62,Parth Rekhade,VID,8,6,6,18,16.5,6.55,0,1,0,,,,,,,Bowler (Right-arm medium)
63,Vishal Gaur,SER,8,6,6,24.5,16.5,8.91,0,0,0,,,,,,,Bowler (Right-arm medium-fast)
64,Yash Ravisingh Thakur,VID,8,6,6,26.38,17.25,9.17,0,0,0,,,,,,,Bowler (Right-arm medium-fast)
65,CV Milind,HYD,8,7,7,19,18,6.33,0,1,0,,,,,,,"All-Rounder (Left-arm medium-fast, left-hand bat)"
66,Auqib Nabi,J&amp;K,8,7,7,22.75,20.25,6.74,0,2,0,,,,,,,Bowler (Right-arm medium-fast)
67,Anukul Roy,JHKD,8,7,7,19,16.5,6.91,0,1,0,,,,,,,"All-Rounder (Left-arm orthodox, left-hand bat)"
68,Vipraj Nigam,UP,8,7,7,21.38,18,7.13,0,0,0,,,,,,,All-Rounder (Right-arm offbreak)
69,Abhishek Sharma,PUN,8,7,7,19,15.75,7.24,0,1,0,,,,,,,"All-Rounder (Left-arm orthodox, left-hand bat)"
69,Abhishek Sharma,PUN,8,7,7,19,15.75,7.24,0,1,0,,,,,,,All-Rounder
70,Manisankar Murasingh,TRI,8,7,7,26.63,18.63,8.58,0,0,0,,,,,,,"All-Rounder (Right-arm medium-fast, right-hand bat)"
1,Ajinkya Rahane,MUM,,9,8,58.63,164.56,,,,,469,98,0,5,46,19,Batsman
2,Rajat Patidar,MP,,10,9,61.14,186.09,,,,,428,81,0,5,32,31,Batsman
3,Sakibul Gani,BIHR,,7,7,58.83,142.34,,,,,353,120,1,2,41,10,Batsman
4,Shreyas Iyer,MUM,,9,8,49.29,188.52,,,,,345,130,1,1,31,22,Batsman
5,Karan Lal,BEN,,9,9,42.25,161.72,,,,,338,94,0,2,35,18,All-Rounder
6,Abishek Porel,BEN,,9,9,41.88,158.77,,,,,335,81,0,3,38,15,Wicketkeeper-Batsman
7,Tilak Varma,HYD,,7,6,65.4,169.43,,,,,327,151,1,3,24,17,Batsman
